state,year,EV Registrations,Total Vehicles,EV Share (%),Stations,Total Charging Outlets,Population_20_64,Education_Bachelor,Unemployment_Rate,Bachelor_Attainment,Per_Cap_Income,localofficials,reducetax,regulate,price_cents_per_kwh,gasoline_price_per_gallon,Total,Trucks,Trucks_Share,Party
Alabama,2023,13000,4835900,0.27,424,1096,2900643,772092,3.5,26.62,35046,51.68,62.16,69.01,11.47,2.742,5446619,3397136.694,62.37,Republican
Alaska,2023,2700,559800,0.48,65,124,440628,126853,4.5,28.79,45792,53.11,65.38,71.61,21.41,3.594,680974,517524.9903,76,Republican
Arizona,2023,89800,6529000,1.38,1198,3506,4211120,1264694,3.8,30.03,41290,55.67,64.73,73.19,12.19,3.278,6447062,3868117.861,60,Democratic
Arkansas,2023,7100,2708300,0.26,334,833,1731063,419237,3.9,24.22,33012,50.82,63.39,68.58,9.73,2.76,3338322,2291924.212,68.65,Republican
California,2023,1256600,36850300,3.41,16381,49433,23173030,7978166,5.2,34.43,48013,60.48,72.08,76.3,24.87,4.731,31057329,16757878.09,53.96,Democratic
Colorado,2023,90100,5441800,1.66,2165,5432,3569927,1512640,3.4,42.37,51768,56.37,66.86,74.75,11.76,3.152,5211580,3619329.359,69.45,Democratic
Connecticut,2023,31600,2945700,1.07,865,2547,2102108,849843,4.3,40.43,53119,58.01,72.51,77.92,24.24,3.043,2837111,1652722.745,58.25,Democratic
Delaware,2023,8400,914700,0.92,197,523,572873,191352,3.3,33.4,44350,58.49,65.97,73.81,12.85,2.964,445240,262590.6036,58.98,Democratic
District Of Columbia,2023,8100,312100,2.6,369,1158,444851,274268,5.1,61.65,78479,68.66,76.55,82.28,16.5,3.174,,,,
Florida,2023,254900,18583200,1.37,3430,9763,12789695,4148663,3.8,32.44,41902,58.67,66.88,74.41,13.53,3.117,19519552,11384590.43,58.32,Republican
Georgia,2023,92400,9642400,0.96,1886,4994,6493223,2138391,4.2,32.93,39685,57.37,66.48,72.64,11.06,2.908,9195822,5648441.847,61.42,Democratic
Hawaii,2023,25600,1080100,2.37,384,860,807278,272677,3.4,33.78,43794,60.68,72.19,76.13,38.6,4.458,1262693,799354.3701,63.31,Democratic
Idaho,2023,8500,1974600,0.43,205,517,1096727,320388,3,29.21,37426,51.27,60.83,70.58,9.08,3.3,2057655.401,1447821.051,70.36,Republican
Illinois,2023,99600,10043200,0.99,1337,3510,7322239,2666297,4.5,36.41,45043,56.88,71.01,77.63,11.75,3.373,10139685,6292796.286,62.06,Democratic
Indiana,2023,26100,6172100,0.42,565,1533,3906988,1107753,3.3,28.35,37299,49.93,60.84,70.26,11.49,3.135,5775462,3778325.741,65.42,Republican
Iowa,2023,9000,3153300,0.29,371,855,1794013,529724,2.5,29.53,39518,49.31,63.45,69.77,9.42,2.943,3827780,2583406.534,67.49,Republican
Kansas,2023,11300,2621100,0.43,547,1196,1652132,540476,2.9,32.71,38361,51.15,62.57,69.56,10.8,2.822,2472852,1618645.227,65.46,Republican
Kentucky,2023,11600,4039700,0.29,328,849,2602706,684577,3.8,26.3,34676,48.57,57.48,67.59,9.96,2.85,4551497,2929436.219,64.36,Republican
Louisiana,2023,8200,3774200,0.22,265,709,2601688,645238,4.6,24.8,34102,53.44,64.64,69.07,8.91,2.707,4522457,2975222.754,65.79,Republican
Maine,2023,7400,1236000,0.6,486,1084,796747,271638,2.9,34.09,42936,53.94,64.24,74,20.84,2.967,1366649,939045.3913,68.71,Democratic
Maryland,2023,72100,5060000,1.42,1726,5022,3598506,1470676,3.7,40.87,50728,61.96,74.59,78.39,14.34,3.058,4935108,2846054.26,57.67,Democratic
Massachusetts,2023,73800,5491100,1.34,2965,7032,4161612,1881293,3.7,45.21,55897,59.35,73.17,79.5,23.21,2.947,5239321,3238412.322,61.81,Democratic
Michigan,2023,50300,8525400,0.59,1447,3352,5735546,1770434,4.1,30.87,38952,55.24,68.85,76.15,13.68,3.199,9907454,6919504.089,69.84,Democratic
Minnesota,2023,37100,5118500,0.72,773,1995,3264485,1249751,2.7,38.28,46530,53.56,67.56,73.39,12.21,2.977,5848091,3944280.943,67.45,Democratic
Mississippi,2023,3600,2723300,0.13,163,551,1656557,386963,4.3,23.36,30807,53.61,64.59,70.5,10.95,2.643,2228844,1400621.82,62.84,Republican
Missouri,2023,26900,5626000,0.48,1240,2703,3523313,1100990,3,31.25,38699,51.65,63.21,69.96,10.87,2.833,5504704,3610787.136,65.59,Republican
Montana,2023,4600,1021700,0.45,126,347,639167,196020,2.6,30.67,40197,48.51,60.63,69.29,10.97,3.15,2357075,1433110.993,60.8,Republican
Nebraska,2023,6900,1971200,0.35,260,554,1106920,367114,2.3,33.17,41436,49.33,62.73,69.01,9.14,3.001,1974401,1337028.255,67.72,Republican
Nevada,2023,47400,2556100,1.85,596,1987,1881744,490564,4.3,26.07,40463,56.22,64.35,72.33,13.09,3.804,2681539,1605276.909,59.86,Democratic
New Hampshire,2023,9900,1383700,0.72,261,597,824809,314940,2.3,38.18,51587,53.52,67.7,75.01,22.96,2.857,1405435,901293.9566,64.13,Democratic
New Jersey,2023,134800,7324100,1.84,1299,3723,5416974,2274359,4.4,41.99,52583,60.42,74.68,79.88,15.27,2.97,5991811,3553870.207,59.31,Democratic
New Mexico,2023,10300,1952400,0.53,278,695,1188793,321193,4.8,27.02,35510,56.1,62.93,70.59,9.47,2.872,1909072,1243681.509,65.15,Democratic
New York,2023,131300,11318600,1.16,3898,11114,11481964,4471107,4.7,38.94,48847,61.76,75.02,80.65,18.28,3.071,9361933.386,5418756.811,57.88,Democratic
North Carolina,2023,70200,9085500,0.77,1595,4204,6296112,2155719,3.7,34.24,40414,56.78,67.82,73.52,10.61,2.913,8752729,5446917.155,62.23,Republican
North Dakota,2023,1000,797400,0.13,98,209,445316,140873,2.4,31.63,42814,43.51,54.02,62.4,8.03,2.963,1060838,792596.8942,74.71,Republican
Ohio,2023,50400,10317300,0.49,1586,3653,6693511,2054395,3.8,30.69,39395,53.43,65.48,73.07,11.04,3.131,11242160,6870888.977,61.12,Republican
Oklahoma,2023,22800,4287900,0.53,358,1363,2291172,588886,4.2,25.7,34206,50.28,59.97,66.86,9.3,2.762,3410923,2256149.898,66.14,Republican
Oregon,2023,64400,3832700,1.68,1263,3190,2476158,862700,3.7,34.84,44623,57.47,67.02,74.88,10.32,3.871,4230276,2721525.197,64.33,Democratic
Pennsylvania,2023,70200,10211000,0.69,1712,4293,7371987,2512385,4,34.08,42605,55.1,68.75,75.03,12.57,3.328,10866252,6845766.641,63,Democratic
Rhode Island,2023,6400,877600,0.73,317,817,645295,236597,4.2,36.66,46525,56,67.51,74.94,21.62,2.939,822447,473686.0486,57.59,Democratic
South Carolina,2023,20900,5042400,0.41,559,1374,3045610,922103,3.8,30.28,38097,54.87,64.19,70.45,10.5,2.799,5283221,3278164.085,62.05,Republican
South Dakota,2023,1700,918000,0.19,98,232,503838,155109,2.2,30.79,40263,48.94,62.33,68.86,10.49,3.039,1384940,923880.5308,66.71,Republican
Tennessee,2023,33200,6538800,0.51,918,2225,4145660,1238980,3.7,29.89,38538,52.73,62.1,70.34,10.69,2.726,6950844,4454618.189,64.09,Republican
Texas,2023,230100,25796600,0.89,3104,8637,17924365,5589937,4,31.19,39775,57.23,66.15,71.19,10.04,2.734,23477492,15578885.48,66.36,Republican
Utah,2023,40000,3076200,1.3,893,2185,1960743,657087,2.9,33.51,40096,50.79,60.11,69.76,9.03,3.285,3084536,1884454.322,61.09,Republican
Vermont,2023,7800,593100,1.32,381,978,368533,149859,2.4,40.66,46029,55.2,69.22,76.62,17.53,3.058,629430,429091.4722,68.17,Democratic
Virginia,2023,84900,7723500,1.1,1562,4565,5101173,2019008,3.4,39.58,48689,58.5,70.71,75.61,10.68,3.007,7922073,4779369.16,60.33,Democratic
Washington,2023,152100,6816100,2.23,2202,5817,4647190,1739254,4.1,37.43,52011,58.01,69.92,75.87,9.58,4.231,7444189,4607190.602,61.89,Democratic
West Virginia,2023,2800,1510900,0.19,155,446,991037,223641,4.2,22.57,32766,44,53.06,62.84,10.26,3.095,1515512,1043582.707,68.86,Republican
Wisconsin,2023,24900,5529000,0.45,577,1398,3378349,1079657,2.5,31.96,41785,51.89,66.09,74.02,12.72,2.943,5800567,3783596.515,65.23,Democratic
Wyoming,2023,1100,652900,0.17,103,252,326326,87914,2.5,26.94,39966,43.01,53.68,63.07,8.39,3.15,890622,685247.2259,76.94,Republican
Alabama,2022,8700,4795500,0.18,327,851,2907037,764167,4.2,26.29,33777,50.83,60.83,68.41,11.59,2.651,5464382,3338723.638,61.1,Republican
Alaska,2022,2000,562100,0.36,61,113,440003,119112,4.2,27.07,43054,51.22,63.75,71.07,20.73,3.476,679125,510725.958,75.2,Republican
Arizona,2022,65800,6490500,1.01,984,2661,4194186,1217980,3.9,29.04,39819,53.52,62.79,72.52,11.31,3.17,6090179,3588898.623,58.93,Democratic
Arkansas,2022,5100,2685400,0.19,218,590,1728688,401468,4.2,23.22,31380,49.86,61.56,68.33,9.91,2.67,3216316,2178155.708,67.72,Republican
California,2022,903600,36119800,2.5,14609,43589,23347658,7860522,5,33.67,46661,59.01,70.47,75.79,22.33,4.575,31119113,16424538.76,52.78,Democratic
Colorado,2022,59900,5387100,1.11,1787,4408,3564038,1492924,3.1,41.89,49071,54.46,64.98,74.12,11.75,3.049,5116858,3481941.296,68.05,Democratic
Connecticut,2022,22000,2951300,0.75,598,1643,2124983,824424,4.4,38.8,51581,57.02,70.72,77.34,21.08,2.943,2789423,1593839.315,57.14,Democratic
Delaware,2022,5400,913600,0.59,156,367,571842,190688,4.2,33.35,42571,58.22,63.72,73.44,11.83,2.867,467268,269176.2929,57.61,Democratic
District Of Columbia,2022,5900,319400,1.85,301,972,439920,271030,4.7,61.61,71699,68.04,74.49,81.7,14.94,3.07,,,,
Florida,2022,168000,18128300,0.93,2923,7818,12650482,3977273,3.7,31.44,40278,58.39,65.11,73.92,12.51,3.014,19663462,11190119.96,56.91,Republican
Georgia,2022,60100,9542400,0.63,1552,4131,6460268,2065021,3.9,31.96,38378,56.51,64.42,72.21,12,2.812,9153627,5485503.344,59.93,Democratic
Hawaii,2022,19800,1080500,1.83,405,938,818536,264889,3.5,32.36,42710,59.54,71.22,75.86,39.72,4.312,1243333,770662.1691,61.98,Democratic
Idaho,2022,5900,1934200,0.31,155,382,1091836,312135,2.6,28.59,35980,49.46,59.86,70.17,8.51,3.191,2031331.673,1411137.511,69.47,Republican
Illinois,2022,66900,10037500,0.67,1342,3351,7378881,2625203,4.5,35.58,43317,55.63,68.88,77.11,11.94,3.262,10334435,6271824.093,60.69,Democratic
Indiana,2022,17700,6094400,0.29,404,1093,3916848,1080594,3.4,27.59,35984,48.79,58.04,69.72,11.66,3.032,5383640,3475614.374,64.56,Republican
Iowa,2022,6200,3118200,0.2,305,659,1802353,543259,2.6,30.14,38917,48.15,61.39,69.53,9.57,2.846,3779422,2509832.033,66.41,Republican
Kansas,2022,7600,2604600,0.29,489,1045,1657175,534864,3.4,32.28,37919,50.14,60.19,69.2,11.47,2.729,2588185,1670622.042,64.55,Republican
Kentucky,2022,7600,3974600,0.19,256,629,2601742,683785,4,26.28,33980,47.48,55.42,66.81,10.51,2.756,4291816,2694967.438,62.79,Republican
Louisiana,2022,5900,3792200,0.16,193,475,2631788,654595,5.3,24.87,32171,52.01,62.12,68.74,10.41,2.618,4593542,2963860.716,64.52,Republican
Maine,2022,5000,1222000,0.41,412,869,797001,261241,3,32.78,41188,52.99,61.03,73.37,17.44,2.87,1294286,870151.4317,67.23,Democratic
Maryland,2022,46100,5066800,0.91,1384,3964,3623239,1481450,3.7,40.89,49236,61.57,73.59,78.08,13.32,2.958,4919054,2774775.194,56.41,Democratic
Massachusetts,2022,49400,5422300,0.91,2406,5748,4178856,1829800,3.8,43.79,54025,58.28,71.01,78.83,21.27,2.85,5184450,3126665.822,60.31,Democratic
Michigan,2022,33100,8445900,0.39,1149,2703,5789361,1732598,4.4,29.93,38151,54.52,66.92,75.93,13.2,3.094,9403708,6427908.732,68.36,Democratic
Minnesota,2022,24300,5053400,0.48,601,1533,3287676,1217882,2.9,37.04,45021,52.35,65.18,72.94,12.04,2.879,5673333,3745936.926,66.03,Democratic
Mississippi,2022,2400,2719900,0.09,114,440,1659306,372287,4.4,22.44,29045,52.84,63.48,70.02,10.36,2.556,2298929,1421341.563,61.83,Republican
Missouri,2022,17900,5422400,0.33,1029,2216,3534730,1066842,3.4,30.18,36640,50.71,60.96,69.56,10.26,2.74,5373722,3454475.969,64.28,Republican
Montana,2022,3300,999600,0.33,98,253,634500,199411,2.7,31.43,38329,46.03,59.25,68.8,9.97,3.046,2249485,1370575.914,60.93,Republican
Nebraska,2022,4600,1940200,0.24,214,446,1100621,351803,2,31.96,38997,48,60.8,68.85,8.83,2.902,1967125,1312428.239,66.72,Republican
Nevada,2022,32900,2520700,1.31,478,1670,1880197,449189,5.1,23.89,38183,54.35,62.44,71.86,10.94,3.679,2672391,1566874.588,58.63,Democratic
New Hampshire,2022,7000,1373700,0.51,201,466,825946,316170,2.4,38.28,49281,52.57,65.6,74.55,21.07,2.763,1437151,903740.1387,62.88,Democratic
New Jersey,2022,87000,7148700,1.22,938,2713,5440078,2254136,4.8,41.44,51272,59.39,73.29,79.52,14.8,2.873,5999667,3476206.495,57.94,Democratic
New Mexico,2022,7100,1929400,0.37,211,528,1194313,314767,4.8,26.36,33916,54.02,60.64,70.1,10.02,2.778,1870380,1202626.547,64.3,Democratic
New York,2022,84700,11306300,0.75,3326,9535,11626637,4409174,4.9,37.92,47421,60.76,73.51,80.11,18.33,2.97,9111362.178,5324362.043,58.44,Democratic
North Carolina,2022,45600,8970300,0.51,1166,3040,6244237,2072271,3.5,33.19,38701,56.4,66.5,73.22,9.6,2.817,8995906,5486863.903,60.99,Republican
North Dakota,2022,600,785500,0.08,80,172,442366,130597,1.9,29.52,41800,41.8,51.19,62.19,8.42,2.866,1093509,805105.9867,73.63,Republican
Ohio,2022,34100,10278300,0.33,1247,2818,6728904,2042704,3.5,30.36,37932,52.65,63.24,72.67,10.64,3.028,11028755,6583927.652,59.7,Republican
Oklahoma,2022,16300,4249900,0.38,340,1093,2288709,584407,3.9,25.53,32930,49.06,57.33,66.52,10.05,2.672,3345331,2161712.79,64.62,Republican
Oregon,2022,47000,3779800,1.24,1009,2475,2486673,827222,4,33.27,42474,56.06,64.87,74.38,9.26,3.744,4139333,2625317.914,63.42,Democratic
Pennsylvania,2022,47400,10165300,0.47,1326,3251,7441870,2516338,4,33.81,41489,54.3,67.05,74.65,11.86,3.218,10868829,6703260.627,61.67,Democratic
Rhode Island,2022,4300,872000,0.49,297,783,648199,239678,4.3,36.98,44538,55.2,65.28,74.53,19.3,2.842,806142,452526.9733,56.13,Democratic
South Carolina,2022,13500,4944700,0.27,413,978,3008187,893972,3.9,29.72,36675,54.47,62.9,70.25,10.74,2.707,5245829,3185298.216,60.72,Republican
South Dakota,2022,1200,945100,0.13,69,176,500281,146233,2.5,29.23,37618,48.16,60.93,68.86,10.44,2.939,1364513,893980.5053,65.52,Republican
Tennessee,2022,22000,6422600,0.34,695,1683,4122277,1198362,3.2,29.07,36704,52.31,60.56,69.57,10.89,2.636,6828011,4294159.214,62.89,Republican
Texas,2022,149000,25346000,0.59,2471,6332,17706100,5442080,4,30.74,38123,55.64,62.87,70.48,10.16,2.644,23291638,15202306.89,65.27,Republican
Utah,2022,28000,2997500,0.93,780,1853,1938728,635468,2.3,32.78,38514,48.31,58.37,69.04,8.8,3.177,2876800,1760470.687,61.2,Republican
Vermont,2022,5300,595000,0.89,351,898,371621,148466,2.4,39.95,42251,54.24,67.06,76.32,16.99,2.958,625664,417728.378,66.77,Democratic
Virginia,2022,56600,7642100,0.74,1221,3643,5119025,1997799,3.3,39.03,47199,57.95,69.64,75.32,10.75,2.908,7763287,4596701.178,59.21,Democratic
Washington,2022,104100,6802500,1.53,1784,4533,4660421,1695565,3.8,36.38,50764,56.47,68.23,75.36,9.05,4.092,7835063,4753229.177,60.67,Democratic
West Virginia,2022,1900,1488900,0.13,137,385,1000729,235223,4.5,23.51,31922,42.84,51.22,62.53,9.74,2.993,1652896,1130585.75,68.4,Republican
Wisconsin,2022,15700,5476200,0.29,470,1101,3393120,1056108,2.6,31.12,40188,50.62,63.83,73.72,11.95,2.846,5681673,3657963.478,64.38,Democratic
Wyoming,2022,800,644400,0.12,86,214,328690,89499,3.6,27.23,38114,40.09,52.29,62.73,8.24,3.046,890285,676313.3534,75.97,Republican
Alabama,2021,4700,4747600,0.1,277,682,2889360,731521,5.1,25.32,30608,54.74,60.92,67.15,10.18,2.49,5479971,3287997.977,60,Republican
Alaska,2021,1300,569100,0.23,52,94,433224,125339,6.6,28.93,39509,55.13,63.35,69.14,20.02,3.264,686142,511500.6377,74.55,Republican
Arizona,2021,40700,6359200,0.64,890,2259,4134524,1184134,5.4,28.64,36295,57.36,62.91,71.21,10.73,2.977,6064542,3504627.455,57.79,Democratic
Arkansas,2021,2400,2690900,0.09,164,463,1713090,393003,5.3,22.94,29252,54.65,62.73,67.11,9.1,2.507,3214781,2148142.694,66.82,Republican
California,2021,563100,35000500,1.61,14607,41237,23477035,7763614,8,33.07,42396,61.89,71.06,74.12,19.65,4.296,31349073,16172731.89,51.59,Democratic
Colorado,2021,37000,5286400,0.7,1619,3992,3537735,1444892,5,40.84,44617,57.07,62.76,71.71,10.9,2.863,5096394,3406756.302,66.85,Democratic
Connecticut,2021,13300,2872000,0.46,533,1430,2124677,835536,6.3,39.33,48146,59.81,70.76,75.65,18.32,2.763,2756485,1543765.35,56,Democratic
Delaware,2021,3000,909600,0.33,134,314,567188,185120,5.5,32.64,38797,61.26,64.14,72.62,10.5,2.692,472175,266285.9505,56.4,Democratic
District Of Columbia,2021,3700,321700,1.15,291,826,438542,258968,7.7,59.05,65808,70.29,73.21,79.77,12.81,2.883,,,,
Florida,2021,95600,17729600,0.54,2636,6748,12407546,3776233,5.4,30.43,36196,62.08,64.85,72.53,10.67,2.83,19180165,10628886.76,55.42,Republican
Georgia,2021,34000,9399700,0.36,1585,3947,6374393,2029894,5.3,31.84,35086,59.71,65.14,71.04,10.43,2.641,9072876,5324556.837,58.69,Democratic
Hawaii,2021,14200,1080800,1.31,386,839,825335,266711,7.4,32.32,38614,58.75,65.83,71.87,30.31,4.049,1235360,743908.4992,60.22,Democratic
Idaho,2021,3500,1911100,0.18,139,345,1063392,292245,3,27.48,33841,53.82,58.71,67.83,8.17,2.997,1976199.166,1355430.762,68.59,Republican
Illinois,2021,36500,10027700,0.36,1079,2764,7430060,2614998,7,35.19,39794,59.63,70.29,75.82,10.14,3.063,11003729,6535648.611,59.39,Democratic
Indiana,2021,10400,6097100,0.17,357,971,3912332,1059204,4.6,27.07,33054,53.47,59.73,68.96,10.36,2.847,5552566,3512603.571,63.26,Republican
Iowa,2021,3700,3110700,0.12,281,584,1794571,514165,3.4,28.65,35715,53.59,63.86,69.37,9.13,2.672,3839312,2506932.98,65.3,Republican
Kansas,2021,4500,2592800,0.17,493,1017,1655394,538657,3.9,32.54,35028,53.77,60.24,67.85,10.47,2.562,2606313,1656795.326,63.57,Republican
Kentucky,2021,4200,4016500,0.1,225,532,2598395,658702,4.9,25.35,30728,52.04,55.66,66.36,9.12,2.588,4408730,2730650.078,61.94,Republican
Louisiana,2021,3200,3820000,0.08,159,385,2657441,642800,7.4,24.19,30117,54.47,60.3,66.52,8.82,2.458,3862489.789,2451249.355,63.46,Republican
